block,SELL_UniswapV2,BUY_UniswapV2,SELL_Sakeswap,BUY_Sakeswap,SELL_Sushiswap,BUY_Sushiswap,SELL_Shebaswap,BUY_Shebaswap,SELL_Croswap,BUY_Croswap,MinBuy,MaxSell,profit
14175864,3187.5267,3187.607,2864.7248,3373.825,3188.1185,3188.1711,3199.0687,3199.2073,3207.7169,3208.6014,3187.607,3207.7169,0.6309
14175864,3187.5267,3187.607,2864.7248,3373.825,3188.1185,3188.1711,3199.0687,3199.2073,3207.7169,3208.6014,3187.607,3207.7169,0.6309
14175865,3187.5267,3187.607,2864.7248,3373.825,3188.1185,3188.1711,3199.0687,3199.2073,3207.7169,3208.6014,3187.607,3207.7169,0.6309
14175865,3187.5267,3187.607,2864.7248,3373.825,3188.1185,3188.1711,3199.0687,3199.2073,3207.7169,3208.6014,3187.607,3207.7169,0.6309
14175865,3187.5267,3187.607,2864.7248,3373.825,3188.1185,3188.1711,3199.0687,3199.2073,3207.7169,3208.6014,3187.607,3207.7169,0.6309
14175865,3187.5267,3187.607,2864.7248,3373.825,3188.1185,3188.1711,3199.0687,3199.2073,3207.7169,3208.6014,3187.607,3207.7169,0.6309
14175866,3187.5267,3187.607,2864.7248,3373.825,3188.1185,3188.1711,3199.0687,3199.2073,3195.3952,3196.278,3187.607,3199.0687,0.3596
14175866,3187.5267,3187.607,2864.7248,3373.825,3188.1185,3188.1711,3199.0687,3199.2073,3195.3952,3196.278,3187.607,3199.0687,0.3596
14175866,3187.5267,3187.607,2864.7248,3373.825,3188.1185,3188.1711,3199.0687,3199.2073,3195.3952,3196.278,3187.607,3199.0687,0.3596
14175866,3187.5267,3187.607,2864.7248,3373.825,3188.1185,3188.1711,3199.0687,3199.2073,3195.3952,3196.278,3187.607,3199.0687,0.3596
14175866,3187.5267,3187.607,2864.7248,3373.825,3188.1185,3188.1711,3199.0687,3199.2073,3195.3952,3196.278,3187.607,3199.0687,0.3596
14175866,3187.5267,3187.607,2864.7248,3373.825,3188.1185,3188.1711,3199.0687,3199.2073,3195.3952,3196.278,3187.607,3199.0687,0.3596
14175868,3187.5267,3187.607,2864.7248,3373.825,3188.1185,3188.1711,3199.0687,3199.2073,3195.3952,3196.278,3187.607,3199.0687,0.3596
14175868,3187.5267,3187.607,2864.7248,3373.825,3188.1185,3188.1711,3199.0687,3199.2073,3195.3952,3196.278,3187.607,3199.0687,0.3596
14175868,3187.5267,3187.607,2864.7248,3373.825,3188.1185,3188.1711,3199.0687,3199.2073,3195.3952,3196.278,3187.607,3199.0687,0.3596
14175870,3186.5349,3186.6151,2864.7248,3373.825,3188.1185,3188.1711,3199.0687,3199.2073,3195.3952,3196.278,3186.6151,3199.0687,0.3908
14175871,3186.5349,3186.6151,2864.7248,3373.825,3188.1185,3188.1711,3199.0687,3199.2073,3195.3952,3196.278,3186.6151,3199.0687,0.3908
14175871,3186.5349,3186.6151,2864.7248,3373.825,3188.1185,3188.1711,3199.0687,3199.2073,3195.3952,3196.278,3186.6151,3199.0687,0.3908
14175871,3186.5349,3186.6151,2864.7248,3373.825,3188.1185,3188.1711,3199.0687,3199.2073,3195.3952,3196.278,3186.6151,3199.0687,0.3908
14175871,3186.5349,3186.6151,2864.7248,3373.825,3188.1185,3188.1711,3199.0687,3199.2073,3195.3952,3196.278,3186.6151,3199.0687,0.3908
14175871,3186.5349,3186.6151,2864.7248,3373.825,3188.1185,3188.1711,3199.0687,3199.2073,3195.3952,3196.278,3186.6151,3199.0687,0.3908
14175873,3186.5349,3186.6151,2864.7248,3373.825,3188.1185,3188.1711,3199.0687,3199.2073,3195.3952,3196.278,3186.6151,3199.0687,0.3908
14175873,3186.5349,3186.6151,2864.7248,3373.825,3188.1185,3188.1711,3199.0687,3199.2073,3195.3952,3196.278,3186.6151,3199.0687,0.3908
14175875,3186.5349,3186.6151,2864.7248,3373.825,3188.1185,3188.1711,3199.0687,3199.2073,3195.3952,3196.278,3186.6151,3199.0687,0.3908
14175876,3186.5349,3186.6151,2864.7248,3373.825,3188.1185,3188.1711,3199.0687,3199.2073,3195.3952,3196.278,3186.6151,3199.0687,0.3908
14175876,3186.5349,3186.6151,2864.7248,3373.825,3188.1185,3188.1711,3199.0687,3199.2073,3195.3952,3196.278,3186.6151,3199.0687,0.3908
14175877,3186.5349,3186.6151,2864.7248,3373.825,3188.1185,3188.1711,3199.0687,3199.2073,3195.3952,3196.278,3186.6151,3199.0687,0.3908
14175878,3186.5349,3186.6151,2864.7248,3373.825,3188.1185,3188.1711,3199.0687,3199.2073,3195.3952,3196.278,3186.6151,3199.0687,0.3908
14175879,3178.5936,3178.6738,2864.7248,3373.825,3188.1185,3188.1711,3199.0687,3199.2073,3195.3952,3196.278,3178.6738,3199.0687,0.6416
14175880,3178.5936,3178.6738,2864.7248,3373.825,3188.1185,3188.1711,3199.0687,3199.2073,3195.3952,3196.278,3178.6738,3199.0687,0.6416
14175880,3178.5936,3178.6738,2864.7248,3373.825,3188.1185,3188.1711,3199.0687,3199.2073,3195.3952,3196.278,3178.6738,3199.0687,0.6416
14175880,3178.5936,3178.6738,2864.7248,3373.825,3188.1185,3188.1711,3199.0687,3199.2073,3195.3952,3196.278,3178.6738,3199.0687,0.6416
14175880,3178.5936,3178.6738,2864.7248,3373.825,3188.1185,3188.1711,3199.0687,3199.2073,3195.3952,3196.278,3178.6738,3199.0687,0.6416
14175881,3178.5936,3178.6738,2864.7248,3373.825,3188.1185,3188.1711,3199.0687,3199.2073,3195.3952,3196.278,3178.6738,3199.0687,0.6416
14175882,3178.5936,3178.6738,2864.7248,3373.825,3188.1185,3188.1711,3199.0687,3199.2073,3195.3952,3196.278,3178.6738,3199.0687,0.6416
14175883,3178.5936,3178.6738,2864.7248,3373.825,3188.1185,3188.1711,3199.0687,3199.2073,3195.3952,3196.278,3178.6738,3199.0687,0.6416
14175883,3178.5936,3178.6738,2864.7248,3373.825,3188.1185,3188.1711,3199.0687,3199.2073,3195.3952,3196.278,3178.6738,3199.0687,0.6416
14175883,3178.5936,3178.6738,2864.7248,3373.825,3188.1185,3188.1711,3199.0687,3199.2073,3195.3952,3196.278,3178.6738,3199.0687,0.6416
14175885,3178.5936,3178.6738,2864.7248,3373.825,3188.1185,3188.1711,3199.0687,3199.2073,3195.3952,3196.278,3178.6738,3199.0687,0.6416
14175885,3178.5936,3178.6738,2864.7248,3373.825,3188.1185,3188.1711,3199.0687,3199.2073,3195.3952,3196.278,3178.6738,3199.0687,0.6416
14175886,3178.5936,3178.6738,2864.7248,3373.825,3188.1185,3188.1711,3199.0687,3199.2073,3195.3952,3196.278,3178.6738,3199.0687,0.6416
14175886,3178.5936,3178.6738,2864.7248,3373.825,3188.1185,3188.1711,3199.0687,3199.2073,3195.3952,3196.278,3178.6738,3199.0687,0.6416
14175887,3178.5936,3178.6738,2864.7248,3373.825,3188.1185,3188.1711,3199.0687,3199.2073,3195.3952,3196.278,3178.6738,3199.0687,0.6416
14175887,3178.5936,3178.6738,2864.7248,3373.825,3188.1185,3188.1711,3199.0687,3199.2073,3195.3952,3196.278,3178.6738,3199.0687,0.6416
14175887,3178.5936,3178.6738,2864.7248,3373.825,3188.1185,3188.1711,3199.0687,3199.2073,3195.3952,3196.278,3178.6738,3199.0687,0.6416
